DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;CD_SITUACAO_LEGENDA;DS_SITUACAO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;11;PREFEITO;COLIGACAO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;2,4E+11;VAMOS PRA FRENTE, VAMOS COM FÉ;PRTB / PROS / PTB / MDB / PSC / PSB;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;12;VICE-PREFEITO;COLIGACAO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;2,4E+11;VAMOS PRA FRENTE, VAMOS COM FÉ;PRTB / PROS / PTB / MDB / PSC / PSB;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;11;PREFEITO;COLIGACAO;22;PL;PARTIDO LIBERAL;2,4E+11;JOINVILLE É AGORA;PSD / PL / PSDB / PP;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;13;VEREADOR;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;2,4E+11;#NULO#;PSB;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;12;VICE-PREFEITO;COLIGACAO;23;CIDADANIA;CIDADANIA;2,4E+11;JOINVILLE É O QUE NOS MOVE;CIDADANIA / SOLIDARIEDADE;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;12;VICE-PREFEITO;COLIGACAO;20;PSC;PARTIDO SOCIAL CRISTÃO;2,4E+11;VAMOS PRA FRENTE, VAMOS COM FÉ;PRTB / PROS / PTB / MDB / PSC / PSB;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;13;VEREADOR;PARTIDO ISOLADO;70;AVANTE;AVANTE;2,4E+11;#NULO#;AVANTE;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;11;PREFEITO;PARTIDO ISOLADO;10;REPUBLICANOS;REPUBLICANOS;2,4E+11;#NULO#;REPUBLICANOS;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;12;VICE-PREFEITO;PARTIDO ISOLADO;10;REPUBLICANOS;REPUBLICANOS;2,4E+11;#NULO#;REPUBLICANOS;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;11;PREFEITO;COLIGACAO;13;PT;PARTIDO DOS TRABALHADORES;2,4E+11;JOINVILLE QUE CUIDA DE SUA GENTE;PT / PC do B;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;11;PREFEITO;COLIGACAO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;2,4E+11;VAMOS PRA FRENTE, VAMOS COM FÉ;PRTB / PROS / PTB / MDB / PSC / PSB;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;11;PREFEITO;PARTIDO ISOLADO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;2,4E+11;#NULO#;PSOL;D;DEFERIDO
03/11/2020;21:07:46;2020;2;ELEIÇÃO ORDINÁRIA;1;426;Eleições Municipais 2020;15/11/2020;SC;81795;JOINVILLE;11;PREFEITO;COLIGACAO;51;PATRIOTA;PATRIOTA;2,4E+11;Joinville Acima De Todos;PMB / PATRIOTA;D;DEFERIDO
